Offset,Chord,NormalForm,PCsInNormalForm,File,measureNumber,beatNumber,Composer
59.125,<music21.chord.Chord B-4 F5 G#5 B-3>,"[0, 3, 5]","[5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
59.625,<music21.chord.Chord B-4 F#5 B-5 B-3>,"[0, 4]","[6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
60.125,<music21.chord.Chord B-4 F5 G#5 B-3>,"[0, 3, 5]","[5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
60.625,<music21.chord.Chord B-4 E-5 F#5 E-4>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
61.125,<music21.chord.Chord B-4 F5 G#5 E-4>,"[0, 2, 5, 7]","[3, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
61.625,<music21.chord.Chord B-4 F#5 B-5 E-4>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
62.125,<music21.chord.Chord B-4 F5 G#5 E-4>,"[0, 2, 5, 7]","[3, 5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
62.625,<music21.chord.Chord B-4 F5 G#5 B-3>,"[0, 3, 5]","[5, 8, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
63.125,<music21.chord.Chord B-4 E-5 F#5 B-3>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
63.625,<music21.chord.Chord B-4 E-5 F#5 B-3>,"[0, 3, 7]","[3, 6, 10]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
64.125,<music21.chord.Chord B-4 D5 F5 B-3>,"[0, 4, 7]","[10, 2, 5]",6 Etudes for Piano Op 111 Prelude and Fugue Eb minor.mid,,,Saint-Saens
